date,rmse_loss
2021-02-16,0.1631053101613113
2021-02-17,0.0649546789769275
2021-02-18,0.11968302092145892
2021-02-19,0.147241594342342
2021-02-20,0.2545284228040314
2021-02-21,0.16385527334463265
2021-02-22,0.17650167330343228
2021-02-23,0.07356541911039281
2021-02-24,0.08679811142439624
2021-02-25,0.12592553648613208
2021-02-26,0.16222599387074277
2021-02-27,0.16130071616811076
2021-02-28,0.15221784229622373
2021-03-01,0.14068275337417985
2021-03-02,0.10027989430429918
2021-03-03,0.1125319160413202
2021-03-04,0.1889748583585424
2021-03-05,0.16391663054104444
2021-03-06,0.16346595035052638
2021-03-07,0.15233143651205225
2021-03-08,0.17220750259677392
2021-03-09,0.12142980748448565
2021-03-10,0.08480613508707086
2021-03-11,0.11144361639697745
2021-03-12,0.13652702012570753
2021-03-13,0.16788607429719385
2021-03-14,0.22107079545672667
2021-03-15,0.22319656121321807
2021-03-16,0.13151688376273168
