date,rmse_loss
2021-02-16,0.1869213263354275
2021-02-17,0.0949535058728822
2021-02-18,0.11882801888734776
2021-02-19,0.1671176504916262
2021-02-20,0.29653927559890236
2021-02-21,0.23335255906148242
2021-02-22,0.21662315682370292
2021-02-23,0.10114318346010595
2021-02-24,0.10048051560276575
2021-02-25,0.1464624427323771
2021-02-26,0.1758882484247963
2021-02-27,0.18012661396794802
2021-02-28,0.16123771911076548
2021-03-01,0.1678071267326932
2021-03-02,0.1115073141898134
2021-03-03,0.11887846820336513
2021-03-04,0.20653280435654447
2021-03-05,0.18908028506525046
2021-03-06,0.1667085961369077
2021-03-07,0.1678583175539903
2021-03-08,0.19043716925236573
2021-03-09,0.1298024475285301
2021-03-10,0.11023247045910856
2021-03-11,0.11172820535435321
2021-03-12,0.14586041174569297
2021-03-13,0.17113022715351286
2021-03-14,0.22373914195871303
2021-03-15,0.2469777214493297
2021-03-16,0.1550314680072851
