Epoch,Rm,Rout,Capacitance,Tm,Ai,P_max,O_hat,R_hat
0,2.423312111027202,1.379014908110356,14.148538897292891,21.340597571607034,1.5956388610563195,2.4897984238276942,0.22278539586489787,0.009682454160718001
1,2.2721938086715667,1.2100268757560948,14.258195474599027,21.209187805244067,1.5747674012113522,2.379408278458075,0.2787413643067078,0.15886144419702597
2,2.2576101008727845,1.1925128549676551,14.335491113270063,21.197350169627114,1.7564218158191236,2.4002868745483856,0.30327416701203286,0.24041271114708865
3,2.253833107674135,1.1878837917122522,14.426886433971458,21.19402162730224,1.9501467779115982,2.4305612316922995,0.3405685970696869,0.30110469306476956
4,2.2635833795846967,1.1999663972684622,14.530326652430093,21.201637757980393,2.1762011348575725,2.478164452128301,0.35298044954584507,0.3534895458991892
5,2.2502573283495617,1.1839248688067852,14.64399430236178,21.190478699319062,2.34698854273962,2.4951869417729875,0.40941710613978705,0.3873812213067031
6,2.2558533372646674,1.1908548623351607,14.76118723370136,21.194325005957616,2.558786462665115,2.533826711802295,0.4613333876417945,0.42202845130815353
7,2.250550948114248,1.184482346971585,14.88509626036898,21.189198582929958,2.7537911863500115,2.5515813159266254,0.5063908813087216,0.45114051509514336
8,2.248305655253857,1.1818872714876465,15.0,21.1872066782652,2.9244440236847686,2.59430113187771,0.508320546199317,0.49395291966176463
9,2.2448166033459414,1.1777638783335473,15.0,21.184052871874997,3.136126120753348,2.6164720820243894,0.542503458990804,0.5192584865987451
10,2.2399763520225915,1.172017725245181,15.0,21.179829093395217,3.3113655907786694,2.6700058789272707,0.5806503545590316,0.5468341018981904
11,2.2412222577973013,1.1737110392066314,15.0,21.180469070399695,3.520690293222816,2.699084257902263,0.6004702686365482,0.5778181811390433
12,2.23055234453841,1.1609574978353971,15.0,21.171184037830564,3.698172802241456,2.734313437674725,0.6116121133110601,0.6116025440456919
13,2.2336315967416915,1.164908910615541,15.0,21.17265015278821,3.8990455351876205,2.762051104053844,0.6509348622529286,0.6358539292890073
14,2.245228216743401,1.1792792601983997,15.0,21.181158390109136,4.084810313271849,2.796608118897524,0.7098238048264024,0.6534551477944004
15,2.240533431426281,1.1740722053503603,15.0,21.175430033108686,4.3281375737374255,2.794764793804512,0.7390206106508603,0.6764226919544474
16,2.231884513070911,1.1642287784249765,15.0,21.167535980707804,4.526947617975285,2.8053101187256044,0.767929106694487,0.7015145162255398
17,2.231149296519178,1.163515910147859,15.0,21.165789801167076,4.714056810123497,2.842191640068295,0.7786044094835606,0.7347991985796063
18,2.226983282723975,1.1587855215828506,15.0,21.162058086605562,4.877521730712021,2.8974954961193817,0.8039586837919434,0.7596080768916191
19,2.2329361383284114,1.165892946871898,15.0,21.16654092002621,5.0,2.9402054391394885,0.8211158807060118,0.7846554938066568
20,2.2283371015066837,1.1608351110697486,15.0,21.162059631269223,5.0,2.9757426849352107,0.8665599476701873,0.8020219125442367
21,2.2247591367380246,1.1569458537424344,15.0,21.15716948821413,5.0,2.9489989782123014,0.8809868963967667,0.8303917058489526
22,2.2270155280108894,1.1598656503469396,15.0,21.157950887735,5.0,2.960719694079941,0.8938044118220582,0.856249356071326
23,2.2355849742968106,1.1698942233209484,15.0,21.163469906492104,5.0,2.953983858201888,0.9019746666959809,0.8874901013228687
24,2.2239487583399833,1.1569841494008246,15.0,21.152105703221686,5.0,2.9564591461038754,0.9240522497581928,0.9086543785156235
25,2.22381866902059,1.1570086363654675,15.0,21.14997915247397,5.0,2.954854838023144,0.9610058221153324,0.9244261593238362
