date,rmse_loss
2021-02-16,0.5129558615439292
2021-02-17,0.36517639930240064
2021-02-18,0.1933135985091934
2021-02-19,0.35456714739189304
2021-02-20,0.3053018866565805
2021-02-21,0.42204813214131226
2021-02-22,0.3371893481044059
2021-02-23,0.402978950054398
2021-02-24,0.18526053506067297
2021-02-25,0.16051736007787085
2021-02-26,0.49021531313688205
2021-02-27,0.3520041599291992
2021-02-28,0.36704657307971583
2021-03-01,0.46452139343085075
2021-03-02,0.3727986797474842
2021-03-03,0.28614199682146985
2021-03-04,0.5871492018178668
2021-03-05,0.5168913999827565
2021-03-06,0.6153408326744269
2021-03-07,0.3698795170570032
2021-03-08,0.33445877110727357
2021-03-09,0.6370719428507182
2021-03-10,0.38207407915038755
2021-03-11,0.38843141049603436
2021-03-12,0.3628839705121857
2021-03-13,0.681204809242623
2021-03-14,0.6997273958908158
2021-03-15,0.4085166078683826
2021-03-16,0.36987624608629943
