Epoch,Rm,Rout,Capacitance,Tm,Ai,P_max,O_hat,R_hat
0,1.2436730228422144,2.295126667311235,12.635870810284178,20.40178307210021,2.4360745653740166,2.3922749702546056,0.9615909686768612,0.20026653173081935
1,1.2291863881244602,2.280364640437697,12.91811764982155,20.384771387747016,2.574213318591574,2.444280796430411,0.8630511703742975,0.322451114096608
2,1.2261852622585299,2.27715428814391,13.182351196084214,20.381578845132065,2.7546868601099375,2.5439312653076227,0.805317363338445,0.40051008171146396
3,1.203551791081655,2.2545069834756606,13.433176834572286,20.358008815727075,2.8957077275296927,2.6144921918007347,0.7740264207866902,0.46145018244965263
4,1.2125206436754825,2.263224846315033,13.702955647728851,20.36244210718062,3.027547516343621,2.6936156705241716,0.7688056723606257,0.5189005626933765
5,1.1941626046788905,2.2449423863084204,13.959429063814968,20.341973810115384,3.2267396604003484,2.7735398835641565,0.7286282464185554,0.5841583693632068
6,1.2013118502793014,2.2515760033181995,14.195379704419945,20.345425329783296,3.3613515734488995,2.8783835116194116,0.7282892110215754,0.6317509783504112
7,1.195749134895539,2.2459045121596772,14.43796575513515,20.33590351970029,3.516905241975116,2.953173708338477,0.7498404276381959,0.6755929699324861
8,1.179682126432626,2.2297246548196124,14.682951141212587,20.317266130522675,3.667244391245778,3.025018632349913,0.7453747627004291,0.7210612036673784
9,1.1732180337518627,2.2231032769795576,14.909369858193307,20.308154202256095,3.833870314065405,3.0873162300142667,0.7311668475074089,0.7647742370916301
10,1.1875948059881387,2.236828464045003,15.124601287165722,20.317582633187918,4.003542491953735,3.1359452750730132,0.7347826340574308,0.8034306535412593
11,1.1674785642289476,2.2166853515469582,15.348894100727753,20.29386408401665,4.147716168722374,3.179765635817159,0.7317429475200996,0.8448081491149033
12,1.158847877924644,2.2081354080095634,15.550705394443398,20.280924223182158,4.2919117246632705,3.2202529709671244,0.7543602964303563,0.8773677430127507
13,1.161622891135773,2.210651325966722,15.749876674429544,20.27909574489776,4.449533333604439,3.2639893825243713,0.7700444216839519,0.9077186693697649
14,1.1450854127304948,2.1945230333947046,15.943462727103686,20.25948112984486,4.583716722245695,3.3040527206625416,0.8018502991186699,0.9381040952115313
15,1.159703659681406,2.208315812949279,16.139785386624144,20.268159833117675,4.759192316464128,3.3683018737477792,0.8378666084951235,0.9659436100736554
16,1.1626749107257364,2.2109598055888497,16.34221363329616,20.26623813926219,4.927164999639267,3.4088054523284765,0.8353434587889067,1.000794433051084
17,1.1382430606342748,2.187191403691912,16.54345550331331,20.23984644300286,5.059683181728976,3.419437945607366,0.8313714666716745,1.031602254180041
18,1.1494284540446582,2.1975238642929886,16.726095876519143,20.24649440630889,5.22126562525966,3.457933137230884,0.8450925816164898,1.0554625255451182
19,1.1553233981559974,2.202978193980065,16.91734964578618,20.245606148732012,5.348468789123443,3.4768655100204526,0.8776739653399905,1.0798859432876644
20,1.1590832743903305,2.20609644588557,17.115001842565913,20.241968286717466,5.5429087061609295,3.4911512693016302,0.953754239443701,1.0912000953503633
21,1.1451237862947259,2.191842199891686,17.295640362193208,20.222600897947153,5.679326774478157,3.5199504354851494,0.9752760791518481,1.1144038240750958
22,1.138368135212439,2.1851197838974903,17.468705915738646,20.21225566902357,5.839396357321213,3.549228868451898,0.9808112702269225,1.144842943969388
23,1.1412366289257927,2.1877993433671636,17.63867774220412,20.211708512291015,5.981043464652442,3.5807491735978325,0.9859120255159223,1.1684618218207725
24,1.1457120311438298,2.1918790643166655,17.80484086791747,20.211516470010867,6.132520186715342,3.60795597716647,0.9508836738514558,1.2109339331939286
25,1.135255802382788,2.181519682230785,17.968948002331864,20.195773055032912,6.280328009990199,3.6276944882585194,0.9834177250127004,1.234660426985438
26,1.1255921717137525,2.172104666063093,18.159444687748504,20.182002813015085,6.436615716792577,3.6099326305418136,1.0198507016734324,1.2485869836099837
27,1.1384704317472034,2.184161338068593,18.31814153182674,20.187804139690172,6.567549597052395,3.6482588877706066,1.035657807946084,1.274357711376522
28,1.141534026668593,2.1866953193586656,18.464705658774047,20.185566040721206,6.714520050757957,3.678981097777825,1.0351495474193046,1.3074637493530252
29,1.1412633942736372,2.186113523344484,18.632804574920808,20.17893903401875,6.884934031708417,3.6948573542431977,1.0540617697397157,1.3300072642682814
30,1.1390088070115412,2.1836976890727176,18.802732288179662,20.171867801844115,7.036014547879338,3.724981623456753,1.0648995894950326,1.3535831343328963
31,1.1212379656316036,2.1661962872728915,18.966575068386444,20.150296406420143,7.200865481043329,3.741847239734286,1.0808244136357967,1.3778871213959987
32,1.1262106236551617,2.1706408772220493,19.124141047173463,20.151430033118835,7.357536820366528,3.777201408492853,1.073286269533704,1.4074835848483354
33,1.124923435575286,2.169312789886565,19.271982285807415,20.148171495640504,7.512339440813698,3.7991801232306215,1.0868355157778835,1.4240354080327065
34,1.1114193189409571,2.156140038564418,19.431100544276422,20.131332801569023,7.659996663609275,3.8021502306100188,1.0732493565344785,1.4543890641714898
