Epoch,Rm,Rout,Capacitance,Tm,Ai,P_max,O_hat,R_hat
0,1.4697070848178053,1.475071220548668,13.920616703085152,21.890148934483328,2.1584573735214367,3.33989197546589,0.25167285922074667,0.14393253080371662
1,1.4732967514977273,1.4786583756555534,14.171435032773893,21.889969323822424,2.3897369246466185,3.2543970846853605,0.2978412563548648,0.21753881997232338
2,1.4704880533638016,1.4758441236357032,14.423745937218348,21.882095008890463,2.611291969266797,3.20207068859975,0.3459228541238512,0.2764273392009562
3,1.4745209487525843,1.4798755816075329,14.68087080371878,21.88177825562376,2.8564485431141113,3.1318898176851393,0.41684448600456525,0.3200616202910908
4,1.4725372038505944,1.4778896548008713,14.93057692767845,21.87585071595376,3.059103459637866,3.0777493406379612,0.45597862770644504,0.3671293239160959
5,1.476985501693218,1.4823351700751732,15.0,21.875627390035703,3.2613698855764643,3.04225591760778,0.5128865213073998,0.4119196449338123
6,1.4833825060976986,1.4887305537989048,15.0,21.879026651011035,3.427483404701834,3.0572921616992725,0.5456687021075628,0.4616493021778415
7,1.4903468028865121,1.4956934094672234,15.0,21.882518989612816,3.615514785602698,3.0534931015389737,0.5733476918177808,0.5092105334080015
8,1.4846848667954147,1.4900262016345187,15.0,21.873554875561787,3.7972460037128486,3.0619216887295533,0.5965556674366955,0.5491784138384053
9,1.4785505500598366,1.4838902405171095,15.0,21.864387983891163,4.003879735713658,3.0471956151912907,0.6288811114850177,0.5772499476278355
10,1.4868320459192794,1.4921713099802956,15.0,21.870855705148173,4.169752367450196,3.068038867694919,0.6480314620293125,0.6181982836058851
11,1.4800767178397491,1.4854147217974405,15.0,21.861105379386647,4.346052917102654,3.0802729041249157,0.6819137078839705,0.6425674531429806
12,1.4779192039820013,1.4832553332741973,15.0,21.857052544722475,4.53363519804092,3.057520237768947,0.7125878179263389,0.6739756406835722
13,1.486765190523146,1.4920992648564118,15.0,21.862545853556536,4.743647197685511,3.0409189745037035,0.7337671051173589,0.7101617129827718
14,1.4832828173677,1.488614357294723,15.0,21.855182305938282,4.917231713329096,3.0371730119152702,0.765563260230342,0.736167339436038
15,1.4829842973728473,1.4883133129876,15.0,21.851883528883388,5.0,3.0559638645428433,0.7978282788268151,0.7616078943714798
16,1.489083150263182,1.4944113251787992,15.0,21.85414806291403,5.0,3.0537408219116062,0.8250614821859134,0.7874472361839762
17,1.4668044957762263,1.4721261807041877,15.0,21.826539205717438,5.0,3.005919195049554,0.8544537495314976,0.8168081486070485
18,1.4819141621719112,1.4872326668963558,15.0,21.836029914599187,5.0,2.9788015160341366,0.8652888406518991,0.8482469289314593
19,1.4871888115056202,1.4925060204357485,15.0,21.839785194905918,5.0,3.0341860844225548,0.8785990932992799,0.8749668350115748
20,1.4938328328724544,1.4991471024264997,15.0,21.84182544121112,5.0,3.0482948856852645,0.9166796256061407,0.895117519360905
21,1.4982153069967863,1.5035259599324595,15.0,21.842155420823023,5.0,3.034271965338067,0.9613072078809746,0.9104998647060734
22,1.4730735691956434,1.4783805042539968,15.0,21.814156988326516,5.0,3.001187675761284,1.0094919287458493,0.9311653327886927
23,1.4949218737878769,1.5002260954683229,15.0,21.832736611187478,5.0,2.98791110891818,1.049193273080252,0.9515392663922055
24,1.4743486843055091,1.4796494959328532,15.0,21.809246794357943,5.0,2.963727433555652,1.0559301207482719,0.9889855389395803
25,1.4808141850434702,1.48611209350706,15.0,21.81337382279633,5.0,2.986169185683145,1.068737931222389,1.0185589550878245
26,1.4833971434457187,1.4886931751401198,15.0,21.812276079346002,5.0,2.9926318561436873,1.0812702571109598,1.0421050762136042
27,1.481050426169138,1.4863448479406274,15.0,21.807330688461917,5.0,2.9848345837438126,1.111825518606703,1.0617199005636737
28,1.475953871519282,1.4812463538619738,15.0,21.79872929263109,5.0,2.964510708462178,1.151696374511434,1.0775444483530312
29,1.4765327873228973,1.4818230359743045,15.0,21.795714532637714,5.0,2.953709589101444,1.1826742278848748,1.0986063671451933
30,1.4866229888014955,1.491908699085748,15.0,21.801897725912156,5.0,2.995073390809955,1.2020149957700181,1.1229069198081523
31,1.4794272012869714,1.4847094590198149,15.0,21.791643803764767,5.0,3.011603034440453,1.2265843868671373,1.14536296721769
32,1.4922683981541305,1.497548541111229,15.0,21.802083120187703,5.0,3.0508939125546237,1.2336711540837941,1.180244780914956
33,1.4775149554906057,1.482788151385573,15.0,21.782513145445762,5.0,3.039044608204143,1.2706346893962255,1.1969766624007192
34,1.484241731113454,1.4895132602655576,15.0,21.786193367132284,5.0,3.05763562365271,1.2706192846076991,1.235939618130152
