Epoch,Rm,Rout,Capacitance,Tm,Ai,P_max,O_hat,R_hat
0,1.6692464499998803,1.2880776273779018,4.170443137033447,23.14708667955939,5.097922408908741,2.6891044971198976,0.11182740533356222,0.1549909753953768
1,1.6473945107780492,1.2674660450514281,4.495828778835249,23.134804027759454,5.347751693250817,2.609208213423732,0.17865403676516325,0.19170750101702963
2,1.6627120808591678,1.2825123296884016,4.757866814516917,23.16231878538198,5.551003243088896,2.5633938292671674,0.21285236556092468,0.2603330375255463
3,1.6674419778182803,1.2872960979065795,4.981879228671731,23.176444807746428,5.719704605258705,2.5506449631804538,0.26075572472021885,0.31114594003137175
4,1.6614515984957043,1.2816349156120306,5.208839183935049,23.179372097670406,5.8581883249203575,2.5563434610973954,0.28879263339799677,0.3980647482887595
5,1.647861052196071,1.2683051095134694,5.423876871917846,23.17454899025727,6.0065713555168605,2.5542344081819275,0.322058549072563,0.4414660524904892
6,1.6476131111889485,1.268239552274327,5.630033637142916,23.18246641498243,6.140491054304563,2.5495541764194685,0.35378534355749003,0.4819269322497532
7,1.649004236444654,1.2698313682185356,5.819352002363721,23.189909291771816,6.301285688542749,2.550970238642974,0.39689542902593405,0.506332286686626
8,1.6531088658837585,1.274209058966381,6.004659810209209,23.199631084015365,6.454552979571362,2.5296986246055186,0.44970712558696624,0.5078041932651344
9,1.6470127738420708,1.2682873663312406,6.177519519288561,23.19720131114014,6.6042770962236235,2.5205624954984494,0.477742527987268,0.5590104250755035
10,1.6499547207504925,1.2713480646256863,6.356455394113101,23.205495259598994,6.747023914145997,2.5164436651287674,0.5099185325083039,0.5970155211870445
11,1.6630518000933772,1.2843538059503838,6.524743751256538,23.223883876398144,6.8887105819978665,2.5223032880270284,0.5502275073574198,0.6090579095960627
12,1.650855066499501,1.272413663369428,6.6765625676593805,23.215621883477404,7.017534559690287,2.5171516377809295,0.5825447678448131,0.6332734685675456
13,1.6568758694709846,1.2785617029102225,6.836788597282406,23.225072492597146,7.149303973860902,2.5117654306572073,0.5950685862675945,0.6862267640810958
14,1.6466101597590812,1.2685383252567846,6.986034332220714,23.218515265164292,7.272973855520977,2.5312192628019954,0.6068947684334932,0.7496810419573582
