Epoch,Rm,Rout,Capacitance,Tm,Ai,P_max,O_hat,R_hat
0,2.59795068292634,1.3465210691551546,4.303548945035112,22.32486506565945,1.6506423178457275,3.5871933509265546,0.14898250230092092,1e-06
1,2.5401969250239995,1.287297436528254,4.356665171398746,22.268526589950113,1.607292017349358,3.532005177270055,0.19678246434559454,1e-06
2,2.483643401463313,1.227903844468767,4.402707906804499,22.214420346051245,1.5642356189053905,3.4785088892961045,0.24750790535056133,3.5226999162684486e-05
3,2.428497988125337,1.168409439184591,4.445948333747094,22.162894547279617,1.547888593799462,3.4262241702325493,0.2928258343073438,1e-06
4,2.3772697384501766,1.111446193395212,4.494682003049639,22.116373133546414,1.5901807362522102,3.3717773071685393,0.30226444462297564,0.016293966159518752
5,2.346091252900722,1.0757513816534257,4.556786318968592,22.089626683728028,1.6746739080387483,3.3273731014814967,0.2914506404001627,0.05664635066576082
6,2.3390143343950425,1.0675332967619533,4.620021418320646,22.084868197147685,1.758881743014739,3.2931772689658225,0.28377922137698053,0.10946812021650787
7,2.342629458240039,1.0717555344546126,4.68004922165076,22.08982723710606,1.8281512774557582,3.2654949062785223,0.2796947695771897,0.1477898879866841
8,2.336834933304522,1.0651727647179052,4.742104679893934,22.086533949228098,1.8934659641731684,3.2371559966563996,0.27269720425712457,0.17523851080115033
9,2.344148128980441,1.0734562216123018,4.796398310428422,22.095104145781193,1.9561495860009124,3.2143270564845166,0.27303163170212996,0.20170821580879442
10,2.3435111064131977,1.0727730912416698,4.849956797993829,22.09635847455386,2.012068925338469,3.188786867270676,0.284519540900618,0.2237777321007778
11,2.3431009098052904,1.0723225537332988,4.904186451461794,22.097667180892405,2.060574205488474,3.1571951704744072,0.29003799635204386,0.24172575924437353
12,2.344976874822791,1.0743902941557586,4.9556900697901565,22.101069814022047,2.1117538104852223,3.1331364148603447,0.29385991989604726,0.26130767484377626
13,2.339364480160351,1.0682708278966837,5.008407243421049,22.09754150826344,2.1612729605014374,3.104435620394574,0.29661282085831314,0.280761626629796
14,2.3445515726862474,1.0739555842830308,5.058651482018672,22.10418356971807,2.214419885602218,3.085924534425579,0.2951488525633063,0.29786314913682893
15,2.3503138307540388,1.0801808820851178,5.108082899781919,22.11135306942673,2.2650607626776105,3.0642110788070873,0.29581225889495544,0.31842077594252727
16,2.354073322222114,1.0842020129185852,5.155834482798968,22.116653148015363,2.3077876226588976,3.0473088560135095,0.3031792949773428,0.3303334905973612
17,2.3510986547115693,1.0810480709000467,5.202302404672761,22.11558899363122,2.3573571416678614,3.0303956272098924,0.30658697825552106,0.3463438870033455
18,2.347732474908156,1.0774927620467807,5.252333729510268,22.114166929343764,2.4002308133699253,3.008142289288111,0.31325774364458,0.3569437707912342
19,2.3489423222341275,1.078790322450902,5.300146630706505,22.117066034223598,2.4458529087484244,2.986233681198418,0.3306052573849206,0.36774805809927774
20,2.3529002756864794,1.08299785747021,5.3455980770887015,22.12263057825741,2.4864396012245504,2.9692183485025865,0.3461763937173683,0.3757547741803998
21,2.350016202881774,1.0799965027058203,5.3905527503846695,22.1214134216985,2.5209330957442577,2.947468347448949,0.34885174194804386,0.394246089313827
22,2.3513432186077767,1.081397673722951,5.4365497959969264,22.124433306471282,2.560588759773731,2.9287398280288914,0.3579058483941187,0.40741307153378503
23,2.3549580545746958,1.0851932156515807,5.481282556963383,22.129609480633857,2.598407866237993,2.916103570125397,0.3651608138956618,0.42102706299358
24,2.351804911310415,1.0819207286340646,5.527202094749627,22.128140425764155,2.6388899151731873,2.8921330630992226,0.3770268747866194,0.42807848406485427
25,2.352584703330003,1.0827455446766343,5.572495186182825,22.13041263685752,2.678072048551569,2.8740062552398555,0.38790130888012453,0.4373353284675334
26,2.3522907039160788,1.0824595973943745,5.617145313616183,22.131563445015534,2.7188245592544957,2.858154431498184,0.38972872273919823,0.45282138793797455
27,2.3465785502308623,1.0765279985334428,5.662882652113543,22.127593430136304,2.746092800466739,2.837390457982311,0.4038511386246602,0.4608120712120661
28,2.3513652342043083,1.081539272725971,5.7071282319776495,22.133763513784753,2.7819171743986546,2.8284828994063647,0.40764053637290015,0.4768804749897593
29,2.352448342459788,1.0826781616927268,5.750630376553383,22.136493727577296,2.8196776336186664,2.8152202336616017,0.4208164386698456,0.48527597666555394
30,2.3530392815451293,1.0833100902241035,5.793679705606948,22.138687632752877,2.852261451668856,2.8032413257733797,0.425314718630173,0.49970224187846873
31,2.3536277553178357,1.0839355485166364,5.838409168683315,22.14076505446484,2.8967461079356194,2.784944922047573,0.4287232377504091,0.5138838819562516
32,2.3600069698562467,1.0904964725270172,5.88069344379328,22.14872262580594,2.9369387841632006,2.7814939512419765,0.431593347002508,0.531844395657429
33,2.3552507676036236,1.0856603102499947,5.923207440266421,22.145562909920358,2.9738849562117826,2.764962952643213,0.43857764716381514,0.5464165241882958
34,2.3616062495996317,1.092172619374616,5.965679768243882,22.153516449178372,3.0090333348231164,2.760473215621776,0.45043933728449753,0.5568517715654052
35,2.3544779558717397,1.0849262085760096,6.009851996049643,22.14791093667969,3.046322909275391,2.744743030619654,0.4580542805920988,0.5674351466624257
