Epoch,Rm,Rout,Capacitance,Tm,Ai,P_max,O_hat,R_hat
0,0.41166591165795113,0.6922071346264801,14.367770287245348,21.682997970726454,4.79575879939878,4.0,1.0,1e-06
1,0.6974947982378646,1.0543783803336941,14.726899439518078,22.15714240797124,5.0,4.0,0.9857559283559686,0.014245075316707604
2,0.9713933115989972,1.3986392947675876,14.913255990790688,22.682131319410495,5.0,4.0,0.7066982872853222,0.2431113506138676
3,1.1061250936613132,1.5658695412261678,14.969369093414409,22.93268522573361,5.0,3.9817023288417097,0.46124711539069274,0.4644466896325837
4,1.1048565457315964,1.563847926764038,15.0,22.90459253456229,5.0,3.999937766559082,0.5248433831021633,0.5865539337459206
5,1.1098392752271655,1.5695112004665381,15.0,22.88646539896982,5.0,4.0,0.5457491510949746,0.7037629494881703
6,1.1108933027456298,1.5706748308119582,15.0,22.861320324271396,5.0,4.0,0.5962580122834705,0.7958242096834657
7,1.1078168609035386,1.5671109508544787,15.0,22.83223200762149,5.0,4.0,0.619000268363544,0.8943844909551397
8,1.110994113454841,1.5705945995954738,15.0,22.820656228115972,5.0,4.0,0.5987785226329699,0.9797466649564089
9,1.1101683293480098,1.569642666468951,15.0,22.802587455134255,5.0,4.0,0.6326277852117117,1.0428293578647247
10,1.1145760731745205,1.5741953373168276,15.0,22.788349162999065,5.0,4.0,0.6594299646900753,1.1004816634578618
11,1.1114635279201461,1.5707276894430795,15.0,22.774545853551754,5.0,4.0,0.6609969119347725,1.15007763737099
12,1.1186531327330267,1.578319639652209,15.0,22.76650441578471,5.0,4.0,0.730984464313658,1.1776115548126225
13,1.1181394172147954,1.5773717211802218,15.0,22.753265094220552,5.0,4.0,0.7676847153664833,1.2154769333772968
14,1.1279046658001644,1.5874658003086661,15.0,22.74345174755483,5.0,4.0,0.7782047014849094,1.278744886266324
15,1.1125904745877397,1.5708127288528841,15.0,22.702328936669424,5.0,3.9951508427162543,0.8245341415782848,1.3189221923978085
16,1.1072667454606184,1.5649127516523775,15.0,22.68179603585039,5.0,4.0,0.8439227527697859,1.3602010449488788
17,1.1217556974767466,1.5798470710593573,15.0,22.683696747868677,5.0,4.0,0.8310483635447967,1.4167486382594852
18,1.1138820437127075,1.5713155987365044,15.0,22.65753421949546,5.0,4.0,0.8597921206085855,1.466025807504079
19,1.1245016588228747,1.5821863349753236,15.0,22.651097649215142,5.0,4.0,0.9411272932497109,1.4849391867491752
20,1.1199303111358279,1.5772094626009379,15.0,22.63311521050832,5.0,4.0,0.9441229646966892,1.530643024879816
21,1.1332049480935469,1.5908553601416306,15.0,22.631619867913273,5.0,3.999375758145431,0.9581590166092752,1.580437256963419
22,1.1221740751640013,1.5792125790957816,15.0,22.607855179558527,5.0,4.0,0.9616908101852638,1.6354259184607782
23,1.1272851250771627,1.58423070176047,15.0,22.604142154166727,5.0,4.0,0.9694862830353551,1.67269346149385
24,1.13123809497072,1.5876602053585676,15.0,22.596160392222732,5.0,3.9895109551554433,0.9656766496879466,1.7244226125988165
25,1.122600573789815,1.5781731369973302,15.0,22.571712348809278,5.0,4.0,1.008088317039442,1.7437888987826953
26,1.126947908405194,1.58249736974808,15.0,22.56582734750184,5.0,4.0,1.0312640665609114,1.7772550862662124
27,1.1282728464784073,1.5836921568958078,15.0,22.554886315948313,5.0,4.0,1.011783714723339,1.840564138006026
28,1.1372124561501797,1.5926550001203053,15.0,22.54453632163354,5.0,4.0,1.0347237105875793,1.8848411069131334
29,1.1277055552754214,1.5826460258857633,15.0,22.52460851639742,5.0,4.0,1.067580425786496,1.9060284579444031
30,1.11893856366389,1.5733881939134429,15.0,22.501346982705286,5.0,3.999496061263927,1.0750381851491029,1.9520048814583335
31,1.124180579118631,1.5782685802641256,15.0,22.493499839076257,5.0,4.0,1.0886233121560016,1.9837698931839862
32,1.1418644243760665,1.5961734612189857,15.0,22.49514544838788,5.0,4.0,1.1311532130941337,1.9980964301841555
33,1.1370861374264467,1.5910980025068784,15.0,22.48339890674163,5.0,4.0,1.1535494524740821,2.022246918261992
34,1.1449081791174316,1.5988125945974214,15.0,22.482570704717993,5.0,4.0,1.1663996043796483,2.055355508285901
35,1.1387260456895913,1.5921116789198482,15.0,22.465019581579046,5.0,4.0,1.1796810796878687,2.0862542519040006
36,1.138875675802658,1.5919957188399092,15.0,22.45057762220512,5.0,4.0,1.1902128324271743,2.1277106941662227
37,1.136924931924574,1.589872549919189,15.0,22.438905082080037,5.0,4.0,1.1933862390824563,2.1720993343680273
38,1.134535132842795,1.5872109746969456,15.0,22.42344087325558,5.0,4.0,1.2200450436550008,2.2041650457345274
39,1.1226808274689186,1.5749317436379686,15.0,22.3997121408023,5.0,4.0,1.2850366011298167,2.2025150318881934
40,1.144147106739425,1.5964125638864404,15.0,22.409966228864835,5.0,4.0,1.3023689272151098,2.2366782800370077
41,1.1405534130594615,1.5925713125614345,15.0,22.39937657322558,5.0,4.0,1.2870812579170523,2.2921661842105214
42,1.1470983425208254,1.599038588190681,15.0,22.392607414191904,5.0,4.0,1.3113168630770557,2.3180989938564327
43,1.119974131824739,1.5713033423434812,15.0,22.352731233881837,5.0,4.0,1.3490608414973138,2.3367217301258085
44,1.1338823456296487,1.584917147647695,15.0,22.35202520659745,5.0,4.0,1.3865690755728841,2.353285330200373
45,1.1401102555838825,1.5907029681666844,15.0,22.347795922842455,5.0,4.0,1.370490637488656,2.4107533538119403
46,1.141331879329463,1.5916330876020393,15.0,22.335951781429912,5.0,4.0,1.3613084528592294,2.462593016434721
47,1.1514508272940505,1.6016266785999302,15.0,22.335644373880296,5.0,4.0,1.3696249455395009,2.495879509263
48,1.1472376243514872,1.597090014233535,15.0,22.322460064299957,5.0,4.0,1.3694678913428349,2.541006490212626
49,1.1433772294215419,1.5929310484313728,15.0,22.30412109488611,5.0,4.0,1.3711308244462772,2.588188770911705
