Epoch,Rm,Rout,Capacitance,Tm,Ai,P_max,O_hat,R_hat
0,1.0750601128713795,2.990607422783433,9.95639464736857,19.61114936481375,3.149109015916427,3.6983390189071863,0.8888533739796444,0.15804327666417767
1,1.0635449695057404,2.9779608443854433,10.20429963091186,19.59645170298868,3.2976476604690395,3.5958587430869935,0.8319447844306587,0.25893719337259974
2,1.0710704374608595,2.9854036689050862,10.459491798069969,19.599603015415404,3.4545073718191133,3.507353375833755,0.7609446024220061,0.3509753635029256
3,1.0596005573937324,2.972981291599625,10.694994672693193,19.581727287445318,3.600979700037244,3.434833808621954,0.7283151304947433,0.4258055202540657
4,1.0696798084489894,2.9829998940122437,10.921763855338286,19.586133312656507,3.7625455134769146,3.406181356003647,0.7492286023442806,0.4933513779826523
5,1.0678351587204313,2.980288300839466,11.127825776401888,19.576719806613198,3.8914005885758316,3.3884287410256375,0.7662216544667523,0.5597472269166607
6,1.0705509871379117,2.9825221170568974,11.349060941305089,19.572715538659555,4.060656124562446,3.3692923092206284,0.8179099604243015,0.6082639340379861
7,1.0702082632987184,2.9816753209966396,11.561137554475623,19.566782630640052,4.232553970290349,3.3335596683417665,0.83030004651939,0.650284192993196
8,1.0639391110134793,2.974819295952982,11.774316764670116,19.552284525364726,4.4200263498267915,3.3039386172143863,0.8930482511609792,0.6928405631487229
9,1.0573022748079148,2.967783614819875,11.96242099891619,19.53735825570659,4.559196667587133,3.3254804826377473,0.8991603408349922,0.7531241276703985
10,1.0555007479086345,2.9653819971129436,12.162515915694913,19.528272333755123,4.6925667999672775,3.3125218363367592,0.9669232926152992,0.783315697065465
11,1.0553002159231648,2.9643834057995893,12.351452454316236,19.51895451191634,4.827858142682093,3.345831497740788,0.9878065681646823,0.8318228029273507
12,1.0713394936104552,2.9803895973997987,12.536067918221061,19.524700551182526,4.949024079788532,3.363019576112838,0.9981248917195062,0.881527466012156
13,1.081057119208302,2.9898717439827407,12.726196200891307,19.527155659976074,5.0,3.362978399737205,0.9809899483133966,0.9287909238630162
14,1.0690914105908158,2.9773074850746495,12.917802918880021,19.506466878324474,5.0,3.347738750504805,0.9855217362360058,0.9728389366751651
15,1.07410446455511,2.9817790960254182,13.106267906747373,19.503684041132807,5.0,3.3555178829085195,1.0068774062648727,1.006378117872079
16,1.0662022063515884,2.973425212429294,13.28186832112301,19.487597116722423,5.0,3.3443218492684514,1.0229046983657382,1.04213142286709
17,1.0600060225284107,2.9667036882649924,13.454069414735077,19.47441197060482,5.0,3.356753347053271,1.0468757521592662,1.071866731920322
18,1.0643642224495726,2.9705568200855756,13.623921568980034,19.47146832706196,5.0,3.3838557770647193,1.0852534329052388,1.0990016435207595
19,1.0651257033175532,2.970819957796272,13.78373067794961,19.465932801673468,5.0,3.4237881317292533,1.090416876081914,1.1369600600255327
20,1.0623808449280545,2.967794526799135,13.957027601686546,19.458195782312,5.0,3.414255639486068,1.095839057870872,1.1697082821635325
21,1.0697043706542568,2.9746122151112955,14.13611424709956,19.45698260875183,5.0,3.397681024390271,1.1317130270561695,1.196272782000032
22,1.0615951140972155,2.9659435795288394,14.301973452833924,19.441986045273648,5.0,3.4257823376520475,1.1225663999330924,1.2316941716188492
